Название;Адрес;Город
Плитка;2-я Азинская ул., 7, Казань;Казань
Сантехника-Онлайн;просп. Ямашева, 46/33, Казань;Казань
Магия воды;Гвардейская ул., 54, Казань;Казань
Строй-Снаб;ул. Журналистов, 100, Казань;Казань
Новая Линия;ул. Салиха Батыева, 7, Казань;Казань
Romano;просп. Альберта Камалеева, 32Б, Казань;Казань
Домилит;пр. Созидателей, 9, Казань;Казань
Партнерторг;ул. Михаила Миля, 53, Казань;Казань
Татстол;ул. Чернышевского, 24/23, Казань;Казань
Плитка;ул. Островского, 107, Казань;Казань
Савиново;просп. Ямашева, 93, Казань;Казань
Доорс.рф;просп. Победы, 226, Казань;Казань
ТТЦ;пр. Предпринимателей, 6, Казань;Казань
Мосплитка;Чистопольская ул., 68, Казань;Казань
Colora;Гвардейская ул., 54/1, Казань;Казань
Строй-Снаб;1-я Владимирская ул., 106, Казань;Казань
СтройСистема;ул. Адоратского, 50А, корп. 3, Казань;Казань
Технотайл центр;пр. Хезмэт, 22, Казань;Казань
Сатурн Строймаркет;Складская ул., 5, Казань;Казань
Максидом;просп. Альберта Камалеева, 44, Казань;Казань
Карсервис;Республика Татарстан (Татарстан), Казань, производственно-логистический парк Вертелевка;Казань
Торговый Дом ЦСК;ул. Восстания, 100, корп. 4220, Казань;Казань
Усады Плитка;Счастливая ул., 14, село Усады;Казань
Купи кирпич;Центральная ул., 200, жилой массив Салмачи, Приволжский район, Казань;Казань
Линолеум & ламинат;ул. Журналистов, 101, Казань;Казань
Керамогранит39;ул. 9 Апреля, 88А, Калининград;Калининград
Пол Маркет;ул. Генерала Буткова, 20, корп. 1, Калининград;Калининград
Дали Керамика;ул. Генерал-фельдмаршала Румянцева, 11, Калининград;Калининград
Мир плитки;Большая Окружная ул., 5, Калининград;Калининград
Керасфера;ул. Габайдулина, 39А, Калининград;Калининград
Керасфера;ул. Юрия Маточкина, 2А, микрорайон Сельма, Ленинградский район, Калининград;Калининград
Дом индийской плитки;Камская ул., 63, корп. 2, Калининград;Калининград
Гауди Керамика;Зарайская ул., 5, Калининград;Калининград
Gres;Ялтинская ул., 66, корп. 2, Калининград;Калининград
Мегаполис;просп. Мира, 142, Калининград;Калининград
Мир плитки;ул. Богдана Хмельницкого, 119, Калининград;Калининград
Керамикс;Пехотная ул., 2А, Калининград;Калининград
Гиант-керамика;Нарвская ул., 112, Калининград;Калининград
Дом китайской плитки;Туруханская ул., 3А, посёлок Невское;Калининград
Салон плитки Труиз;Московский просп., 83А, Калининград;Калининград
Модуль Керамика;Зоологическая ул., 29, Калининград;Калининград
Модуль Керамика;ул. Молодой Гвардии, 34, корп. 4, Калининград;Калининград
Плитка;Портовая ул., 34, Калининград;Калининград
Керамикс;Калининград, Ленинградский район;Калининград
Кафель +;Октябрьская ул., 57, Калининград;Калининград
WoodRolls;ул. Профессора Баранова, 1, Калининград;Калининград
Элиткерамика;Московский просп., 48А, Калининград;Калининград
